DVM,LookupCHMIntegrationNotifications,Lookup for CHM Integration Notifications
Integration_Identifier-Notification_Type,From_Email,Email_Recipients,Email_Subject,Email_Body,Notification_Enabled
CHMEXCHANGERATESSYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Exchange Rate Sync | Error,Exchange Rate Sync has been failed. Please check Integration log for more information.,Y
CHMARTRXTYPESSYNCERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,AR Transaction Types Sync | Success,"AR Transaction Types Sync has been completed successfully.<br><br><br>         <table style=""border-collapse: collapse;width: 100%;"">             <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td>                </tr>              <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td>                </tr>           <tr>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILED_RECORDS}</td>              </tr>         </table>",Y
CHMARTRXTYPESSYNCERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,AR Transaction Types Sync | Warning,AR Transaction Types Sync has been completed but no data exists for processing.,Y
CHMARTRXTYPESSYNCERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,AR Transaction Types Sync | Error,AR Transaction Types Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMARTRXTYPESSYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",AR Transaction Types Sync | Error,AR Transaction Types Sync has been failed. Please check Integration log for more information.,Y
CHMMASTERUOMSYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Master UOM Sync |  Error,"Master UOM Sync has been failed. Please check Integration log for more information. <br><br><b style=color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br>""",Y
CHMMASTERUOMSYNCERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Master UOM Sync|  Error,Master UOM Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMMASTERUOMSYNCERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Master UOM Sync |  Success,"Master UOM Sync has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
CHMMASTERUOMSYNCERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Master UOM Sync |  Warning,Master UOM Sync has been completed but no data exists for processing.,Y
CHMSTATEPROVINCESYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",State Province Sync |  Error,"State Province Sync has been failed. Please check Integration log for more information. <br><br><b style=color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br>""",Y
CHMSTATEPROVINCESYNCERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,State Province Sync|  Error,State Province Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMSTATEPROVINCESYNCERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,State Province Sync |  Success,"State Province Sync has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
CHMSTATEPROVINCESYNCERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,State Province Sync |  Warning,State Province Sync has been completed but no data exists for processing.,Y
CHMVALUESETSSYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Value Sets Sync |  Error,"Value Sets Sync has been failed. Please check Integration log for more information. <br><br><b style=color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br>""",Y
CHMVALUESETSSYNCERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Value Sets Sync|  Error,Value Sets Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMVALUESETSSYNCERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Value Sets Sync |  Success,"Value Sets Sync has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
CHMVALUESETSSYNCERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Value Sets Sync |  Warning,Value Sets Sync has been completed but no data exists for processing.,Y
CHMACCOUNTINGPERIODSSYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Accounting Periods Sync |  Error,"Accounting Periods Sync has been failed. Please check Integration log for more information. <br><br><b style=color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br>""",Y
CHMACCOUNTINGPERIODSSYNCERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Accounting Periods Sync|  Error,Accounting Periods Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMACCOUNTINGPERIODSSYNCERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Accounting Periods Sync |  Success,"Accounting Periods Sync has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
CHMACCOUNTINGPERIODSSYNCERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Accounting Periods Sync |  Warning,Accounting Periods Sync has been completed but no data exists for processing.,Y
CHMITEMCATEGORIESSETSSYNERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Item Categories Sets Sync |  Error,"Item Categories Sets Sync has been failed. Please check Integration log for more information. <br><br><b style=""color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br><b style=""color:red"">JIRA Ticket Ref: &nbsp;</b><b><a href=""https://enphase.atlassian.net/browse/{P_TICKET_NUMBER}"" style=""text-decoration:none"">{P_TICKET_NUMBER}</a></b><br><br><br><b style=""color:red"">JIRA Status:&nbsp;</b>{P_TICKET_STATUS}<br><br>",Y
CHMITEMCATEGORIESSETSSYNERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Item Categories Sets Sync |  Error,Item Categories Sets Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMITEMCATEGORIESSETSSYNERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Item Categories Sets Sync |  Success,"Item Categories Sets Sync has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
CHMITEMCATEGORIESSETSSYNERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Item Categories Sets Sync |  Warning,Item Categories Sets Sync has been completed but no data exists for processing.,Y
CHMITEMCATASSIGNMENTSSYNERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Item Categories Assignments Sync | Success,"Item Categories Assignments Sync has been completed successfully.<br><br><br>         <table style=""border-collapse: collapse;width: 100%;"">             <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td>                </tr>              <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td>                </tr>           <tr>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILED_RECORDS}</td>              </tr>         </table>",Y
CHMITEMCATASSIGNMENTSSYNERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Item Categories Assignments Sync | Warning,Item Categories Assignments Sync has been completed but no data exists for processing.,Y
CHMITEMCATASSIGNMENTSSYNERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Item Categories Assignments Sync | Error,Item Categories Assignments Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMITEMCATASSIGNMENTSSYNERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Item Categories Assignments Sync | Error,Item Categories Assignments Sync has been failed. Please check Integration log for more information.,Y
CHMPRICELISTITEMSYNCERPTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Price List Items Sync | Success,"Price List Items Sync has been completed successfully.<br><br><br>         <table style=""border-collapse: collapse;width: 100%;"">             <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td>                </tr>              <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td>                </tr>              <tr>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td>               <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td>                </tr>           <tr>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESS_RECORDS}</td>           </tr>           <tr>            <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td>             <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILED_RECORDS}</td>              </tr>         </table>",Y
CHMPRICELISTITEMSYNCERPTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Price List Items Sync |  Warning,Price List Items Sync has been completed but no data exists for processing.,Y
CHMPRICELISTITEMSYNCERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Price List Items Sync | Error,Price List Items Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMPRICELISTITEMSYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Price List Items Sync | Error,Price List Items Sync has been failed. Please check Integration log for more information.,Y
CHMINSTALLERMASTERSYNCSFDCTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Installer Master Sync |  Error,Installer Master Sync has been failed. Please check Integration log for more information.,Y
CHMINSTALLERMASTERSYNCSFDCTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Installer Master Sync |  Error,Installer Master Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMINSTALLERMASTERSYNCSFDCTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Installer Master Sync |  Success,"Installer Master Sync has been completed successfully.<br> <br> <br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records synced</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESS_RECORDS}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total installer records in SFDC Prod</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SFDC_RECORDS}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total Installer Records Marked as Inactive</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_MERGE_STATUS_RECORDS}</td> </tr> </table>",Y
CHMINSTALLERMASTERSYNCSFDCTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Installer Master Sync |  Warning,Installer Master Sync has been completed but no data exists for processing.,Y
CHMSPAMASTERDISTSYNCSFDCTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",SPA Master Distributor Sync |  Error,"SPA Master Distributor has been failed. Please check Integration log for more information. <br><br><b style=""color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br><b style=""color:red"">JIRA Ticket Ref: &nbsp;</b><b><a href=""https://enphase.atlassian.net/browse/{P_TICKET_NUMBER}"" style=""text-decoration:none"">{P_TICKET_NUMBER}</a></b><br><br><br><b style=""color:red"">JIRA Status:&nbsp;</b>{P_TICKET_STATUS}<br><br>",Y
CHMSPAMASTERDISTSYNCSFDCTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,SPA Master Distributor Sync |  Error,SPA Master Distributor has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMSPAMASTERDISTSYNCSFDCTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,SPA Master Distributor Sync |  Success,"SPA Master Distributor has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
CHMSPAMASTERDISTSYNCSFDCTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,SPA Master Distributor Sync |  Warning,SPA Master Distributor has been completed but no data exists for processing.,Y
CHMSPAMASTERHDRLINESYNCSFDCTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",SPA Master Lines Sync |  Error,"SPA Master Header and Lines has been failed. Please check Integration log for more information. <br><br><b style=""color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br><b style=""color:red"">JIRA Ticket Ref: &nbsp;</b><b><a href=""https://enphase.atlassian.net/browse/{P_TICKET_NUMBER}"" style=""text-decoration:none"">{P_TICKET_NUMBER}</a></b><br><br><br><b style=""color:red"">JIRA Status:&nbsp;</b>{P_TICKET_STATUS}<br><br>",Y
CHMSPAMASTERHDRLINESYNCSFDCTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,SPA Master Header and Lines Sync |  Error,SPA Master Header and Lines has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
CHMSPAMASTERHDRLINESYNCSFDCTOCHM-SUCCESS,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,SPA Master Header and Lines Sync |  Success,"SPA Master Header and Lines has been completed successfully. <br><br><br> <table style=""border-collapse: collapse;width: 100%;""> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Instance Id</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_INSTANCE_ID}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Start Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_START_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">End Date</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_END_DATE}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records merged</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_SUCCESSCOUNT}</td> </tr> <tr> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;background-color:lightgrey;font-weight: bold;"">Total records failed to merge</td> <td style=""border: 1px solid #dddddd;text-align: left;padding: 8px;"">{P_FAILCOUNT}</td> </tr> </table>",Y
CHMSPAMASTERHDRLINESYNCSFDCTOCHM-WARNING,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,SPA Master Header and Lines Sync |  Warning,SPA Master Header and Lines has been completed but no data exists for processing.,Y
CHMSHIPMENTDETAILSYNCERPTOCHM-ERROR,no-reply@enphaseenergy.com,"chm_prod@enphaseenergy.com,chmitsupport@enphaseenergy.com",Shipment Detail Sync |  Error,"Shipment Detail Sync has been failed. Please check Integration log for more information. <br><br><b style=""color:red"">Error Details:</b><br><br>{P_EXECPTIONDETAILS}<br><br><br><b style=""color:red"">JIRA Ticket Ref: &nbsp;</b><b><a href=""https://enphase.atlassian.net/browse/{P_TICKET_NUMBER}"" style=""text-decoration:none"">{P_TICKET_NUMBER}</a></b><br><br><br><b style=""color:red"">JIRA Status:&nbsp;</b>{P_TICKET_STATUS}<br><br>",Y
CHMSHIPMENTDETAILSYNCERPTOCHM-DISABLED,no-reply@enphaseenergy.com,chmitsupport@enphaseenergy.com,Shipment Detail Sync |  Error,Shipment Detail Sync has been failed. Please check if Integration is registered and enabled in Channel Management (CHM),Y
